-0.39462727, 0.39887255;-0.3935, 0.3985
0.20583381, 0.29547396;0.2055, 0.2968
0.2031619, 0.30038124;0.2034, 0.3012
0.20045055, 0.30154818;0.2002, 0.3024
-0.09728495, -0.101144336;-0.0991, -0.1027
-0.29975268, -0.30131492;-0.2994, -0.3016
-0.2983589, -0.29482058;-0.2976, -0.2955
-0.24319673, 0.25208792;-0.2448, 0.2503
-0.39674297, 0.2001033;-0.398, 0.1993
-0.40064886, 0.20165068;-0.4011, 0.2004
0.19328962, 0.30123487;0.1939, 0.3026
-0.30025256, -0.29991376;-0.2998, -0.3006
0.40091032, 0.10270907;0.4008, 0.1026
-0.1017012, -0.10160208;-0.1038, -0.1032
-0.3997508, 0.3973727;-0.3985, 0.3977
0.39171517, 0.097651735;0.3907, 0.0968
0.39790902, 0.096328296;0.3979, 0.0956
-0.2938574, -0.29066125;-0.2941, -0.2917
0.20283228, -0.20319012;0.2033, -0.2028
0.0039016996, 0.004337892;0.0031, 0.0069
0.19773364, 0.29948893;0.1982, 0.3004
-0.25073588, 0.24997553;-0.2514, 0.2483
0.20278352, -0.20114058;0.2032, -0.201
-0.40432966, 0.20422052;-0.4048, 0.203
7.684191E-4, -3.943577E-4;-4.0E-4, 0.0018
0.19966334, -0.19675873;0.2006, -0.1975
-0.40489087, 0.19695546;-0.4046, 0.196
-0.24921586, 0.24733798;-0.2504, 0.2462
0.19819626, -0.20019467;0.1993, -0.2008
-0.4016896, 0.40367845;-0.3999, 0.4026
-0.39809978, 0.19867806;-0.3993, 0.1974
0.102320254, -0.30011448;0.1027, -0.3002
0.09974595, -0.30260625;0.1001, -0.3026
-0.09038788, -0.10105452;-0.0927, -0.1026
0.1939005, -0.1928707;0.1958, -0.1931
0.100132816, -0.3025688;0.1005, -0.3026
-0.10114726, -0.09646608;-0.1032, -0.0975
0.103337176, -0.29883042;0.1037, -0.2985
-0.30618772, -0.30038488;-0.3067, -0.3013
-0.3010458, -0.30013862;-0.3007, -0.3009
-0.40241075, 0.39668846;-0.4002, 0.3973
-0.40310183, 0.3983226;-0.4008, 0.3987
0.0984526, -0.30545127;0.0991, -0.3055
-0.105596475, -0.10159744;-0.1078, -0.1035
-0.4022836, 0.40169215;-0.4001, 0.4013
0.19953114, 0.29992288;0.1996, 0.3004
0.097868145, -0.2993366;0.0979, -0.299
-0.3970848, 0.40060374;-0.3961, 0.4006
0.101042144, -0.30018634;0.1014, -0.3002
-0.3979694, 0.40099046;-0.3969, 0.4008
0.2028994, -0.19352476;0.204, -0.1942
0.20133696, -0.19834064;0.2023, -0.1988
-0.1009758, -0.10405105;-0.1032, -0.1061
-0.4058835, 0.39971942;-0.4034, 0.3999
-0.10094825, -0.1040931;-0.1031, -0.1062
-0.24666367, 0.24906242;-0.2483, 0.2474
0.40100875, 0.09989458;0.4009, 0.0993
0.4016916, 0.09689848;0.4015, 0.0958
-0.25372112, 0.25141025;-0.2545, 0.2502
0.19892852, 0.29964522;0.1992, 0.3004
-0.006985123, 8.586422E-4;-0.0083, 0.0032
-0.24952367, 0.2569886;-0.2511, 0.2562
-0.24777402, 0.24945162;-0.2491, 0.2478
-0.29509822, -0.29844823;-0.2943, -0.2992
-0.0033744243, -0.0020958022;-0.0044, -3.0E-4
0.09815542, -0.29965237;0.0981, -0.2994
-0.4031736, 0.4028128;-0.401, 0.4021
-0.3977126, 0.20087959;-0.3986, 0.1999
0.4010456, 0.100882344;0.4007, 0.1004
-0.40240386, 0.20161642;-0.4028, 0.2004
-0.0030724658, 2.946643E-4;-0.0038, 0.0025
-0.39929783, 0.19944312;-0.3998, 0.1981
-0.098264076, -0.09665838;-0.1003, -0.0981
-0.09796101, -0.103297986;-0.0997, -0.1054
-0.40417022, 0.40140173;-0.4018, 0.4011
-0.0014422036, 0.0048091253;-0.0024, 0.0079
0.0012246042, 9.971074E-4;0.0, 0.0028
-0.3942073, 0.401225;-0.3935, 0.4008
-0.29555196, -0.30121806;-0.295, -0.3013
-0.25161755, 0.25172436;-0.2521, 0.2502
0.0064609256, 0.0013589867;0.0058, 0.0034
-0.09692526, -0.1031211;-0.0991, -0.105
0.10174613, -0.2992498;0.1021, -0.2994
0.2030754, 0.3024233;0.2031, 0.3031
0.3998628, 0.09634234;0.3997, 0.0957
0.39620388, 0.099985845;0.3963, 0.0994
-0.40260178, 0.19615139;-0.4024, 0.195
0.3997053, 0.10257379;0.3996, 0.1022
-0.4008307, 0.1949185;-0.4009, 0.1939
0.40193358, 0.09239879;0.4018, 0.0914
0.2011963, 0.30334264;0.2011, 0.3044
-0.101333775, -0.10076742;-0.1035, -0.1024
0.2037008, 0.29822892;0.2037, 0.2993
-0.40090233, 0.40358946;-0.3993, 0.4024
6.6356566E-5, 9.965423E-4;-0.0011, 0.0031
-0.40078834, 0.19753379;-0.4012, 0.1959
0.4052737, 0.10309779;0.4053, 0.1025
-0.2511192, 0.24929461;-0.2516, 0.2477
0.20487429, 0.30462742;0.2051, 0.3055
-0.39672303, 0.20213553;-0.3975, 0.2011
-0.25087234, 0.25049117;-0.2516, 0.2487
-5.2174757E-4, 0.0028594066;-0.0018, 0.0049
-0.0072939275, 5.108042E-4;-0.0087, 0.0028
-0.40447512, 0.3984702;-0.4019, 0.3989
-0.40061057, 0.40015873;-0.3991, 0.4001
-0.107833505, -0.10275252;-0.1101, -0.1047
0.2018367, -0.1962327;0.2026, -0.1972
0.19655083, 0.3022342;0.1968, 0.3032
0.002198445, 0.0012368717;0.0013, 0.0033
0.19684118, -0.20243762;0.1978, -0.203
-0.24990001, 0.24606946;-0.2509, 0.2442
-0.29792294, -0.29573965;-0.297, -0.2969
-0.40086067, 0.39792523;-0.399, 0.3982
-0.2500518, 0.24855244;-0.2509, 0.2469
-0.09760688, -0.1016193;-0.0994, -0.1034
-0.3982727, 0.3998581;-0.3973, 0.3999
0.39769253, 0.09899122;0.3977, 0.0986
-0.24591908, 0.25117117;-0.2476, 0.2494
0.19609924, -0.20393415;0.1969, -0.2038
0.20208248, -0.1958962;0.203, -0.1966
-0.102031596, -0.10456448;-0.1043, -0.1069
-0.24592473, 0.25353637;-0.2478, 0.2521
-0.3031707, -0.3039169;-0.3036, -0.3042
0.39890057, 0.10818068;0.3985, 0.1083
-0.25037345, 0.25449082;-0.2516, 0.2536
0.0048401332, 0.0067473673;0.0037, 0.0091
0.0010896043, 0.0018520046;-1.0E-4, 0.0039
-0.30250174, -0.30643225;-0.3029, -0.3068
0.39836565, 0.102919266;0.3978, 0.1026
0.09960044, -0.30307978;0.1002, -0.3031
0.20048927, 0.3004561;0.2003, 0.3011
-0.40170258, 0.39590183;-0.3998, 0.3964
-0.29713362, -0.30096915;-0.2962, -0.3012
0.3984645, 0.0974859;0.3985, 0.0968
0.106930785, -0.29700196;0.1081, -0.2962
0.0022063553, -0.001095488;0.001, 7.0E-4
0.20657629, 0.301152;0.207, 0.3019
-0.40034348, 0.20409572;-0.4006, 0.2029
0.19932808, -0.20531642;0.1995, -0.2054
-0.2996099, -0.30012074;-0.2991, -0.3006
-0.39644873, 0.19666341;-0.3981, 0.1953
0.202809, 0.2988933;0.203, 0.2997
-0.4022037, 0.19795124;-0.4022, 0.1965
-0.09245171, -0.10369011;-0.0951, -0.1058
-0.3007781, -0.2971015;-0.3001, -0.2984
-0.39740175, 0.3954382;-0.3967, 0.3959
0.10253825, -0.29648048;0.1028, -0.2956
-0.005424523, -5.9285103E-5;-0.0065, 0.0022
0.40317124, 0.10188909;0.4033, 0.1014
-0.40177754, 0.1981098;-0.402, 0.1966
0.19772863, 0.3002513;0.1979, 0.3011
-0.39933893, 0.3993142;-0.3983, 0.3994
-0.29918823, -0.30742815;-0.2992, -0.3073
0.39987096, 0.097611874;0.3997, 0.0967
-0.25048375, 0.25270373;-0.2514, 0.2512
0.097432725, -0.30170953;0.0972, -0.3017
0.19965129, 0.30044943;0.1995, 0.3011
0.19740443, 0.3050508;0.1977, 0.3057
0.19981425, 0.30162814;0.1997, 0.3026
0.20021082, -0.19569586;0.2012, -0.1965
-0.25034702, 0.2526882;-0.251, 0.2511
-0.30252433, -0.30125034;-0.3025, -0.3018
0.0023087447, 3.5821862E-4;0.0011, 0.0025
0.0049079736, 0.0034690455;0.0038, 0.0058
-0.3013644, -0.2984044;-0.3011, -0.2994
-0.40278167, 0.19745517;-0.4026, 0.1964
0.20232257, -0.19470613;0.2034, -0.1952
0.39605853, 0.099669784;0.396, 0.0991
-0.24930501, 0.25810498;-0.2511, 0.2572
0.20184113, 0.3024754;0.2019, 0.3034
-0.09879619, -0.09751465;-0.1008, -0.0989
-0.29722384, -0.29921502;-0.2964, -0.3
0.19642119, -0.20361824;0.1973, -0.2038
-0.102670975, -0.097570434;-0.1048, -0.099
0.19700101, 0.29563543;0.1973, 0.2968
-0.24997936, 0.24998885;-0.2507, 0.2483
-0.3037921, -0.3002772;-0.3042, -0.3012
0.002418686, -6.358055E-4;0.0012, 0.0011
-0.40026358, 0.4001629;-0.3988, 0.4
-0.2550534, 0.24837974;-0.2555, 0.2471
0.20369174, 0.30709714;0.2043, 0.3082
0.0072554084, -9.99303E-4;0.0065, 0.0011
0.20130394, -0.1992131;0.2022, -0.1996
-0.39648968, 0.40285853;-0.3959, 0.402
-0.2971254, -0.30393362;-0.2962, -0.3037
0.20198683, -0.19902343;0.2027, -0.1993
0.0031144868, -0.009533446;0.0015, -0.0065
0.19927138, -0.2008236;0.2001, -0.201
-0.39920914, 0.20526603;-0.3995, 0.204
-0.40335602, 0.20164102;-0.4037, 0.2004
-0.0017831236, -0.0025607082;-0.0024, -6.0E-4
-0.40613377, 0.39731026;-0.4033, 0.3977
-0.10423801, -0.10326327;-0.1065, -0.1051
0.20393409, 0.30798584;0.2044, 0.3092
0.003291666, 0.0025618789;0.0024, 0.0046
-0.004955553, -0.0010718736;-0.0059, 9.0E-4
-0.39761674, 0.203797;-0.3982, 0.2025
-0.1013656, -0.10026342;-0.1034, -0.1017
-0.2447604, 0.25412056;-0.2465, 0.2525
-0.30421397, -0.30486426;-0.3049, -0.3053
-0.30263934, -0.30016;-0.3022, -0.301
-0.0067042536, -0.0025718496;-0.0081, -4.0E-4
0.09992607, -0.30045444;0.0999, -0.3004
-0.2504457, 0.24843833;-0.2512, 0.2468
-0.1074258, -0.098914355;-0.1094, -0.1006
9.6715905E-4, -0.0020220783;1.0E-4, -2.0E-4
-0.10492924, -0.104702204;-0.1071, -0.1068
0.20352514, 0.30027464;0.2036, 0.3012
-0.3015863, -0.3005387;-0.301, -0.3012
-0.2987547, -0.2974919;-0.298, -0.2987
0.0024582173, 0.0019560298;0.0015, 0.0041
0.20368652, -0.1998004;0.2041, -0.1999
0.19600344, 0.301111;0.1963, 0.302
0.20575006, -0.20268685;0.206, -0.2021
-0.25099173, 0.24712811;-0.2517, 0.2458
0.096770875, -0.2994959;0.0965, -0.2994
-0.2515015, 0.25018454;-0.2521, 0.2486
0.09770049, -0.30001214;0.0975, -0.2999
-0.10059553, -0.101658165;-0.1026, -0.1033
0.40013248, 0.09833599;0.3997, 0.0974
-0.39958942, 0.39994603;-0.3985, 0.3999
0.19627787, -0.19904445;0.1979, -0.1999
0.19683431, -0.20038773;0.1983, -0.2011
-0.40240216, 0.20479211;-0.4029, 0.2037
-0.2959051, -0.30615142;-0.2956, -0.3052
0.10377047, -0.29863524;0.1041, -0.2984
-0.24817811, 0.24860443;-0.2493, 0.2472
-0.3937876, 0.20436189;-0.3946, 0.2028
-0.09544084, -0.09959823;-0.0976, -0.1011
-0.10032685, -0.099479675;-0.1025, -0.101
0.09869941, -0.30052087;0.0986, -0.3009
-0.0021867235, -0.003254586;-0.003, -0.0013
0.0035288827, 0.0034143163;0.0028, 0.0055
-0.25394028, 0.24481069;-0.2544, 0.2429
-0.39365354, 0.3974161;-0.3925, 0.3976
0.20450963, -0.20206836;0.2048, -0.2017
-0.40047505, 0.19737475;-0.401, 0.1958
0.3906779, 0.09918864;0.3901, 0.0982
0.095074534, -0.30202487;0.0949, -0.3018
-0.24640778, 0.24749197;-0.2477, 0.2458
0.40255174, 0.09796969;0.4025, 0.097
-0.2993972, -0.29351822;-0.2986, -0.2941
0.39832306, 0.09810876;0.3984, 0.0975
-0.29623967, -0.3024022;-0.2956, -0.3026
-0.29784, -0.30610123;-0.2974, -0.3055
-0.3963735, 0.19660042;-0.398, 0.1952
-0.30622798, -0.29358998;-0.3066, -0.2945
-0.29914322, -0.30015638;-0.2985, -0.3005
0.40009823, 0.101307124;0.3995, 0.1008
0.39966327, 0.09794305;0.3993, 0.0972
-0.30276462, -0.29719388;-0.3027, -0.2979
0.39594355, 0.09942472;0.3956, 0.0988
-0.004820636, 0.0018543518;-0.0059, 0.0046
-0.25164914, 0.2544153;-0.2527, 0.2537
0.2014028, 0.29562005;0.2014, 0.297
-0.4049642, 0.19923945;-0.4052, 0.1984
0.40216166, 0.10355205;0.402, 0.1033
0.39671904, 0.10003021;0.3967, 0.0995
-0.39973927, 0.20069548;-0.4003, 0.1996
-0.40106186, 0.4034548;-0.3994, 0.4024
-0.39403522, 0.39884925;-0.3931, 0.3984
-0.30290398, -0.30371904;-0.3032, -0.304
-0.0024283237, 7.226112E-4;-0.0033, 0.0028
0.39971823, 0.100646175;0.399, 0.1
-0.30049255, -0.30399868;-0.3004, -0.3042
-0.30108032, -0.29682702;-0.3009, -0.2977
0.19699234, 0.29980487;0.1975, 0.3008
0.106451735, -0.299497;0.1074, -0.2991
0.09971335, -0.29965794;0.0998, -0.2995
0.19960818, -0.19839475;0.2004, -0.1991
0.4002316, 0.09560559;0.4003, 0.095
-0.40203002, 0.40150064;-0.4, 0.4011
0.19977278, -0.19811092;0.2004, -0.1991
0.40196452, 0.09856827;0.402, 0.0975
-0.25669068, 0.2518829;-0.2577, 0.2516
-0.101917036, -0.09518715;-0.1036, -0.0964
0.19710182, 0.30260053;0.1971, 0.3036
0.20081994, -0.2015482;0.2012, -0.2014
-0.09858947, -0.09730172;-0.1007, -0.0989
-0.4037691, 0.20346516;-0.4043, 0.2024
-0.09394012, -0.10157934;-0.0962, -0.1032
-0.30191314, -0.29630452;-0.3021, -0.2972
0.40557888, 0.10230086;0.4054, 0.1017
0.20023376, -0.20116079;0.2008, -0.2013
-0.40051016, 0.40210915;-0.3994, 0.4016
0.19795984, 0.2969187;0.1984, 0.2981
0.19601014, -0.19955075;0.1978, -0.2004
-0.25702062, 0.2519663;-0.2579, 0.2517
-0.09694394, -0.09653274;-0.0988, -0.0982
-0.2986255, -0.296989;-0.2978, -0.2981
0.39414048, 0.101423234;0.3938, 0.1012
0.002531768, -0.006381215;0.0014, -0.0039
-0.29642922, -0.2940592;-0.2959, -0.2947
-0.40096018, 0.19427797;-0.4012, 0.1933
0.09915102, -0.29645976;0.0994, -0.2959
0.19770421, -0.20380154;0.198, -0.204
0.19371544, -0.20286569;0.1956, -0.2037
-0.298104, -0.30336186;-0.2973, -0.3035
0.20485568, -0.19830476;0.2052, -0.1987
-0.0057286164, 0.002054726;-0.0068, 0.0047
0.10029035, -0.2973844;0.1005, -0.2966
0.099906765, -0.3065623;0.1006, -0.3065
0.09894533, -0.29182005;0.0991, -0.2911
-0.39966616, 0.19956237;-0.4002, 0.1982
-0.40103668, 0.1959753;-0.4013, 0.1948
-0.4068235, 0.19908111;-0.4071, 0.1985
0.0025983532, -8.18838E-4;0.0014, 0.001
-0.40347806, 0.2013993;-0.4038, 0.2002
-0.09634278, -0.10034398;-0.0984, -0.1018
-0.102574505, -0.10457883;-0.1046, -0.107
0.0956252, -0.29775858;0.0955, -0.2973
-0.09889542, -0.09994857;-0.1008, -0.1013
0.20296544, 0.30393127;0.203, 0.3048
-0.24588145, 0.24765863;-0.2474, 0.2459
-0.24897784, 0.2570192;-0.2508, 0.2561
-0.2979907, -0.29945502;-0.2969, -0.3001
-0.24984895, 0.25298458;-0.2506, 0.2515
0.39851895, 0.10379534;0.3981, 0.1034
0.0021429753, -0.0019659018;9.0E-4, -3.0E-4
0.4007851, 0.103927866;0.4006, 0.1037
-0.10247, -0.09602498;-0.1043, -0.0974
0.40517727, 0.10266864;0.4052, 0.1021
-0.39678833, 0.20108217;-0.3977, 0.2002
-0.25051734, 0.24669935;-0.2513, 0.2453
0.2008704, 0.29669726;0.2009, 0.2979
0.20021656, -0.2037079;0.2008, -0.2039
-0.39810538, 0.1965873;-0.3992, 0.1952
-0.099943206, -0.09751304;-0.1018, -0.0991
0.10198102, -0.3075591;0.1028, -0.3075
0.20488337, 0.29741716;0.2045, 0.2987
-0.40294752, 0.20500503;-0.4032, 0.2039
0.006741606, 0.0015436185;0.006, 0.0036
0.39987057, 0.10334433;0.3998, 0.1031
-0.39920557, 0.4014877;-0.3979, 0.4011
-0.09387056, -0.096912995;-0.0959, -0.0985
0.3997152, 0.09999528;0.3992, 0.0994
-6.6251773E-4, -5.047818E-4;-0.002, 0.0015
-0.4003379, 0.20513171;-0.4005, 0.2038
0.10035977, -0.29905322;0.1005, -0.2988
-0.39950386, 0.39595297;-0.3983, 0.3965
3.6193227E-4, 3.681678E-4;-9.0E-4, 0.0023
0.40389073, 0.10123853;0.4043, 0.1003
0.20138802, -0.20301235;0.2018, -0.2027
-0.29870033, -0.2947956;-0.2981, -0.2955
0.20488945, -0.19977929;0.2052, -0.2
-0.39857423, 0.20121546;-0.3992, 0.2
-2.4956575E-5, 0.007881507;-0.0014, 0.0107
0.40230036, 0.10474979;0.4019, 0.1045
-0.30074322, -0.30646762;-0.3009, -0.3067
-0.2990559, -0.30173135;-0.2983, -0.3019
-0.0053251353, -0.0053524277;-0.0062, -0.0033
0.40327632, 0.09764739;0.4032, 0.0967
-0.29339126, -0.30133402;-0.2931, -0.3014
-0.10177184, -0.09889853;-0.1039, -0.1007
-0.103008404, -0.098794445;-0.105, -0.1005
-0.30474567, -0.30165944;-0.3052, -0.3024
-0.3996305, 0.19960731;-0.4002, 0.1982
0.0027776263, 1.6933914E-4;0.0018, 0.0022
-0.3984175, 0.19828214;-0.3994, 0.1971
0.39864442, 0.10166292;0.3982, 0.101
-0.30168882, -0.3040669;-0.3017, -0.3042
0.19607824, -0.20186812;0.1972, -0.2027
-0.30037132, -0.299978;-0.2998, -0.3006
-0.09415254, -0.10193704;-0.0963, -0.1035
0.2001164, -0.19969636;0.2008, -0.2
-0.0022548523, 0.0060735424;-0.0032, 0.0091
0.40284112, 0.09752004;0.403, 0.0966
0.09867793, -0.2978019;0.0988, -0.2973
0.20079811, 0.30175543;0.2006, 0.3029
-0.004280477, 0.0012402032;-0.0055, 0.0037
-0.40429756, 0.3998833;-0.4019, 0.3999
0.19713587, -0.19777527;0.1987, -0.1984
-0.39892355, 0.39884678;-0.3979, 0.399
0.39977255, 0.09664945;0.3997, 0.0958
-0.24898885, 0.2500235;-0.2502, 0.2484
-0.29964608, -0.30353075;-0.2993, -0.3034
0.097538196, -0.29674256;0.0974, -0.2962
-0.10032834, -0.09627037;-0.1022, -0.0974
0.19913045, 0.29670706;0.199, 0.298
0.19809969, -0.20194443;0.1988, -0.202
0.20070949, -0.19811134;0.2016, -0.1986
0.40245155, 0.09973046;0.4025, 0.0988
0.19783902, 0.30184266;0.1981, 0.3026
-0.10469116, -0.104709044;-0.1067, -0.1068
0.20942916, -0.20448352;0.2088, -0.2039
0.20222887, 0.30260432;0.2022, 0.3033
-0.40032408, 0.3931898;-0.399, 0.3936
-0.0023661065, 3.842965E-5;-0.0032, 0.0021
0.20241351, -0.20243944;0.203, -0.2022
-0.29890725, -0.29604107;-0.2981, -0.2971
-0.39888263, 0.39896125;-0.3979, 0.3991
-0.4025772, 0.3987412;-0.4004, 0.3991
0.40423802, 0.09942581;0.4045, 0.0987
-0.003711849, -0.0010210599;-0.0046, 8.0E-4
0.1988222, 0.2970664;0.1989, 0.2982
0.10179356, -0.30256295;0.1019, -0.3028
-0.39936906, 0.39379063;-0.3981, 0.3942
-0.0031077727, 0.004141094;-0.0044, 0.0068
0.0025553198, 0.0026376978;0.0017, 0.0046
0.0056220386, -0.0064476198;0.0045, -0.0038
-0.39877585, 0.19972363;-0.3994, 0.1984
-0.25193584, 0.24979565;-0.2523, 0.2484
0.09999609, -0.29510206;0.1002, -0.2942
0.101272605, -0.30076045;0.1016, -0.3008
-0.09780112, -0.094308764;-0.1002, -0.0961
-0.24888532, 0.24654603;-0.2501, 0.245
-0.40169618, 0.4033773;-0.3999, 0.4024
-0.24623442, 0.250159;-0.248, 0.2484
0.1993991, -0.19734794;0.2002, -0.1981
0.0016580847, -0.00552152;6.0E-4, -0.0033
0.10060602, -0.29402864;0.1008, -0.2933
0.40253264, 0.105432026;0.4021, 0.1054
-0.29947695, -0.29591814;-0.2988, -0.2966
0.20396926, -0.1996311;0.2045, -0.1996
-0.0025954978, 3.266804E-5;-0.0033, 0.002
-0.3962502, 0.40346202;-0.3957, 0.4025
0.19967207, 0.29790032;0.1995, 0.2987
0.10096072, -0.2989971;0.101, -0.2987
-0.001667697, -6.498669E-4;-0.0026, 0.0014
-0.39371493, 0.20059963;-0.3946, 0.1999
-0.24788664, 0.2514312;-0.2493, 0.2496
-0.4006296, 0.4020998;-0.3995, 0.4016
-0.39862257, 0.20224942;-0.3993, 0.2014
0.19694366, -0.20645608;0.1977, -0.2064
0.09640997, -0.29985434;0.0962, -0.2997
0.39607126, 0.1066727;0.3954, 0.1068
0.09336361, -0.30249396;0.0934, -0.302
0.40311688, 0.10078209;0.4033, 0.0999
-0.30584475, -0.29645032;-0.3061, -0.2974
-0.39676332, 0.20340736;-0.3974, 0.2024
-0.30792934, -0.30505535;-0.3086, -0.3057
-0.39927348, 0.20070969;-0.3998, 0.1996
-0.40598106, 0.20324631;-0.4062, 0.202
-0.2479793, 0.2500188;-0.2494, 0.2482
-0.25247028, 0.25577822;-0.2539, 0.2553
-0.40018874, 0.3969271;-0.3986, 0.3974
0.19621801, 0.30098715;0.1965, 0.3018
-0.2987033, -0.30016223;-0.2978, -0.3007
0.20405346, -0.19391274;0.2049, -0.1946
0.39900592, 0.100247584;0.3987, 0.0997
0.09586633, -0.30213845;0.0957, -0.302
0.40021768, 0.09880603;0.3996, 0.0979
-0.094298504, -0.09482454;-0.0962, -0.0967
-0.39767334, 0.4022424;-0.3968, 0.4018
-0.106370755, -0.09565823;-0.1083, -0.0972
0.19877464, -0.19697577;0.2, -0.1978
-0.39706174, 0.39939833;-0.3961, 0.3995
-0.09989654, -0.09941406;-0.1019, -0.1009
0.40061405, 0.09627623;0.4007, 0.0956
0.40003896, 0.101700075;0.3996, 0.1014
0.39881703, 0.09353321;0.3988, 0.0927
0.40110445, 0.10453111;0.401, 0.1042
0.39552394, 0.10346863;0.3951, 0.1032
0.100922905, -0.29836127;0.1011, -0.2981
-0.40271023, 0.19280174;-0.4024, 0.1922
-0.39647612, 0.39670643;-0.3957, 0.3971
-0.30012232, -0.2989525;-0.2994, -0.2996
0.09679483, -0.30127066;0.0965, -0.3013
0.0030346396, 6.7143475E-5;0.0019, 0.0021
-0.29808867, -0.30803347;-0.298, -0.3074
-0.29895917, -0.30192313;-0.2983, -0.3019
-0.39372367, 0.40124893;-0.3931, 0.4008
-0.24918081, 0.24743517;-0.2504, 0.2463
-0.24779396, 0.25193176;-0.2494, 0.2506
-0.0020543905, -0.0028866532;-0.0028, -9.0E-4
0.40055034, 0.09911817;0.4003, 0.0981
-0.400824, 0.1975151;-0.4013, 0.1958
0.09944645, -0.3024483;0.0997, -0.3023
0.39922357, 0.10282199;0.3989, 0.1024
-0.3994177, 0.19896628;-0.4001, 0.1976
0.19521986, 0.29591608;0.1957, 0.2971
0.4001132, 0.10199988;0.3998, 0.1017
0.20112848, -0.2004364;0.2017, -0.2005
-0.39835504, 0.4002753;-0.3974, 0.4001
-0.09751655, -0.09597879;-0.0995, -0.0976
-0.10732612, -0.09889526;-0.1094, -0.1006
0.39995766, 0.1034922;0.4001, 0.1033
-0.25006157, 0.25281727;-0.2508, 0.2512
0.09651527, -0.30145076;0.0963, -0.3013
0.101074465, -0.29817444;0.1011, -0.2979
-0.29746372, -0.30195498;-0.2965, -0.3021
-0.0010340619, 0.0018566623;-0.002, 0.0039
0.0034641002, -0.0033461722;0.0023, -0.0016
0.19550951, -0.19358458;0.197, -0.1939
-0.10069743, -0.10215674;-0.1025, -0.1043
-0.25168297, 0.25192982;-0.2522, 0.2504
0.19943835, -0.20258613;0.2, -0.2023
-0.3001858, -0.30302864;-0.2996, -0.3032
-5.7646545E-4, 0.0017597245;-0.0016, 0.0038
-0.09947462, -0.103174716;-0.1013, -0.105
-0.24927257, 0.24516296;-0.2504, 0.2435
0.0063096047, 0.005660926;0.005, 0.0082
-0.24510252, 0.24861616;-0.2467, 0.2467
-0.0012365952, -2.0582863E-4;-0.0023, 0.0017
0.20235491, 0.29970503;0.2026, 0.3003
0.0055442387, -0.003390845;0.0043, -0.0017
0.20282903, -0.19842732;0.2034, -0.1988
-0.39815754, 0.39853787;-0.3971, 0.3988
0.19915658, 0.29823697;0.1993, 0.299
0.19805029, 0.29944384;0.1984, 0.3003
-0.24940686, 0.24970609;-0.2504, 0.2482
0.10211882, -0.29953292;0.1024, -0.2996
0.39708704, 0.10337041;0.3968, 0.1031
-0.40213916, 0.2028672;-0.4023, 0.2018
-0.09602304, -0.09392417;-0.098, -0.0959
0.19850746, 0.30013368;0.1988, 0.3009
0.19969572, -0.20031591;0.2005, -0.2005
0.19916928, -0.20170844;0.2001, -0.2016
0.20418061, 0.29212373;0.2042, 0.2934
-0.30786425, -0.3050316;-0.3086, -0.3056
-0.30458152, -0.30589476;-0.3052, -0.3065
-0.2511149, 0.2523657;-0.2517, 0.2509
0.39697406, 0.10356334;0.3967, 0.1033
0.10464311, -0.30168286;0.1051, -0.302
-0.10098757, -0.100294024;-0.1032, -0.1019
-0.30322206, -0.29626703;-0.303, -0.297
-0.10364691, -0.10264081;-0.1058, -0.1043
-0.0036645397, -5.1135995E-4;-0.0047, 0.0016
-0.39765516, 0.19581486;-0.399, 0.1948
0.20361449, 0.29312444;0.2037, 0.2942
-0.2990758, -0.29996693;-0.2983, -0.3004
-0.39973405, 0.20340501;-0.4002, 0.2022
-0.2497824, 0.2445528;-0.2507, 0.2432
-0.40477192, 0.40243775;-0.4021, 0.4019
0.001308592, -0.0022726848;3.0E-4, -3.0E-4
0.3979523, 0.101657026;0.3979, 0.101
-0.2957827, -0.30406156;-0.2955, -0.3036
-0.39343467, 0.40310264;-0.393, 0.4019
-0.29296318, -0.29630777;-0.2928, -0.2978
0.20304048, 0.29531616;0.2031, 0.2969
0.20344594, -0.2034466;0.2039, -0.203
-0.40274942, 0.3958593;-0.4005, 0.3961
-0.4017672, 0.20245059;-0.4019, 0.2014
-0.401986, 0.40373117;-0.4001, 0.4025
-0.24679603, 0.2503034;-0.2486, 0.2487
0.20320065, 0.3019207;0.2032, 0.3027
0.40079272, 0.100917146;0.4005, 0.1004
-0.39770898, 0.20135999;-0.3984, 0.2003
0.002782205, -0.0011123016;0.0014, 7.0E-4
-0.4057729, 0.20546007;-0.4058, 0.2038
-0.30505472, -0.30144158;-0.3057, -0.3021
-0.30418998, -0.30435807;-0.305, -0.3047
0.20439371, -0.20124105;0.2048, -0.2011
-0.40297168, 0.39903614;-0.4007, 0.3993
-0.3947472, 0.40471265;-0.3944, 0.4032
-0.2514553, 0.25062835;-0.252, 0.2488
-0.39996454, 0.40165418;-0.3987, 0.4012
-0.3907721, 0.1951624;-0.3916, 0.1946
9.682108E-5, -0.0029440394;-0.0012, -9.0E-4
0.10061098, -0.29625207;0.1007, -0.2954
-0.3958105, 0.39753312;-0.3945, 0.3977
0.100855336, -0.3074755;0.1012, -0.3076
0.19806387, 0.3008032;0.1983, 0.3015
-0.3974969, 0.19588548;-0.3989, 0.1947
