0.19821587, 0.29940185;0.1985, 0.3003
0.0033640387, 0.0018117503;0.0024, 0.0042
-0.24775603, 0.25443515;-0.2494, 0.2532
-0.3983312, 0.40949076;-0.3978, 0.4066
-0.2970763, -0.29283762;-0.2966, -0.2935
-0.2519754, 0.24448468;-0.2525, 0.2429
0.2009006, -0.20260178;0.2014, -0.2023
0.19629245, 0.30168447;0.1966, 0.3025
0.0022410075, 0.0019261723;0.0014, 0.0041
0.40535054, 0.09959048;0.4051, 0.0989
-0.39817563, 0.39875236;-0.3971, 0.3988
0.19520986, -0.20104946;0.1967, -0.2022
0.4024979, 0.1048255;0.4021, 0.1046
0.19508803, -0.2010096;0.1967, -0.2022
0.20357317, 0.29478705;0.2036, 0.2962
-0.40354103, 0.19663882;-0.4032, 0.1955
-0.39777255, 0.39920995;-0.3969, 0.3993
-0.3983048, 0.20090947;-0.399, 0.1998
0.39652786, 0.10143917;0.3961, 0.1011
-0.2978678, -0.30003467;-0.2969, -0.3005
0.19802901, 0.3032791;0.1982, 0.3043
0.20035708, 0.29786354;0.2001, 0.2989
-0.096734725, -0.095381066;-0.0987, -0.0973
-0.3992696, 0.40025902;-0.3983, 0.4001
-0.39626643, 0.40215757;-0.3957, 0.4015
0.19713011, -0.19952317;0.1986, -0.2003
-0.0017151325, -0.003344689;-0.0024, -0.0012
-0.40206245, 0.40274286;-0.4, 0.402
-0.24619122, 0.25040516;-0.2479, 0.2487
0.20084016, -0.20534849;0.201, -0.2054
0.09532421, -0.29899445;0.0951, -0.2987
0.10173086, -0.30029127;0.1023, -0.3002
-0.2981857, -0.29880902;-0.2973, -0.2995
-0.107202694, -0.09742334;-0.1092, -0.0995
0.20038089, 0.2981151;0.2002, 0.2992
0.09982788, -0.30307046;0.1003, -0.3032
-0.24705917, 0.2546188;-0.2488, 0.2534
0.2012584, 0.3051748;0.2014, 0.3055
0.40262508, 0.10252129;0.4025, 0.1023
0.20380889, 0.29852143;0.2038, 0.2997
0.10383311, -0.29716852;0.1041, -0.2965
0.39052492, 0.102162786;0.3898, 0.1016
-0.24999106, 0.24871662;-0.2508, 0.2471
0.19860536, -0.19916673;0.1997, -0.1996
-0.24784997, 0.25337073;-0.2494, 0.2517
-0.24646954, 0.24833873;-0.2479, 0.2467
0.10512973, -0.30112275;0.1056, -0.3014
-0.39524886, 0.20025855;-0.3962, 0.1994
-0.100604475, -0.10216748;-0.1024, -0.1042
-0.30237004, -0.29990956;-0.3019, -0.3008
-0.25223142, 0.25177658;-0.2528, 0.25
-0.3997799, 0.40075308;-0.3985, 0.4004
0.100777395, -0.29880843;0.1009, -0.2984
-0.0985318, -0.09989811;-0.1004, -0.1014
-0.2471676, 0.25196052;-0.2489, 0.2505
-0.40253207, 0.40041587;-0.4004, 0.4003
-0.4027747, 0.19547339;-0.4027, 0.1945
-0.40131623, 0.40047437;-0.3997, 0.4003
-8.1696874E-4, 0.0017442387;-0.0019, 0.0038
0.10793856, -0.29937494;0.1092, -0.2991
0.100459754, -0.2978623;0.1005, -0.2973
-0.24566737, 0.24780326;-0.2471, 0.2461
-0.39766458, 0.19849502;-0.3989, 0.1973
0.40012178, 0.10806271;0.3999, 0.108
0.097938165, -0.298102;0.098, -0.2979
-0.29614678, -0.30150482;-0.2955, -0.3016
0.20048754, 0.29772684;0.2003, 0.2988
-0.40387753, 0.19622134;-0.4037, 0.1949
-0.0049898764, -0.003655857;-0.0057, -0.0017
-0.3990105, 0.40094903;-0.3979, 0.4007
-0.10150619, -0.09598277;-0.1033, -0.0971
0.202173, 0.30106473;0.2025, 0.3021
0.19622341, -0.20100397;0.1976, -0.2019
0.001671528, 9.1270707E-4;6.0E-4, 0.0028
-0.2955934, -0.3031135;-0.2953, -0.3031
-0.3022323, -0.300616;-0.3019, -0.3012
-0.3982573, 0.3992819;-0.3973, 0.3995
0.4001564, 0.09907499;0.3996, 0.0983
-0.39897075, 0.40272978;-0.3975, 0.4022
0.4016549, 0.101573296;0.4015, 0.1012
0.19630997, 0.30032772;0.1967, 0.3012
-0.25345555, 0.24899054;-0.2539, 0.2473
-0.30013317, -0.29401138;-0.2995, -0.2947
-0.09732848, -0.09939075;-0.0991, -0.1009
0.20035893, 0.2988883;0.2002, 0.2998
-0.29695725, -0.29692784;-0.2963, -0.2982
-0.24261245, 0.25263795;-0.2442, 0.2508
-0.09749336, -0.100678004;-0.0992, -0.1023
-0.09965337, -0.0971705;-0.1015, -0.0985
-0.102087915, -0.09673048;-0.1041, -0.0982
-0.103855416, -0.094915;-0.1055, -0.0964
0.20544174, 0.3059484;0.2061, 0.3068
0.19776687, 0.30100262;0.1979, 0.3016
-4.397136E-4, -3.433611E-4;-0.0014, 0.0018
0.1042856, -0.29596657;0.1048, -0.2949
-0.0077692857, -7.9318916E-4;-0.009, 0.0013
-0.2513551, 0.24568905;-0.2518, 0.2441
-0.40430954, 0.4043921;-0.4021, 0.4034
0.0012912378, 0.0057275426;0.0, 0.0088
-0.09507574, -0.10200346;-0.0971, -0.1036
-0.40110758, 0.20049883;-0.4015, 0.1991
0.19863118, -0.19899245;0.1998, -0.1994
-0.39839604, 0.40065092;-0.3973, 0.4005
-0.2990719, -0.30134842;-0.2983, -0.3015
-0.24664298, 0.24518336;-0.248, 0.2434
-0.3957198, 0.39705023;-0.3945, 0.3973
0.1004245, -0.30041727;0.1007, -0.3004
3.5877957E-4, -0.0040071276;-7.0E-4, -0.002
0.20315887, -0.19087484;0.2039, -0.1911
-0.2945675, -0.3033965;-0.2943, -0.303
-0.39922148, 0.3994551;-0.3982, 0.3995
0.2008039, 0.29678863;0.2007, 0.2982
0.09591399, -0.29553702;0.0958, -0.2951
-0.39939758, 0.20683467;-0.3996, 0.2051
-0.2520843, 0.24692827;-0.2526, 0.2455
-0.100295335, -0.09955093;-0.1025, -0.101
-0.002958622, 0.002091605;-0.0041, 0.0047
0.0920029, -0.30917332;0.0916, -0.3092
-0.3976349, 0.20409109;-0.3983, 0.203
0.4001882, 0.10947889;0.4, 0.1094
-0.30015758, -0.29889077;-0.2995, -0.2996
-0.10364643, -0.099406764;-0.1056, -0.1013
0.10264541, -0.3057067;0.1032, -0.306
0.20122518, -0.19989398;0.2019, -0.2001
0.10231519, -0.30073094;0.1027, -0.3007
-0.29682416, -0.30288985;-0.2959, -0.3029
-0.104166575, -0.09817401;-0.1062, -0.0999
-0.4026792, 0.19633606;-0.4024, 0.195
0.19722824, 0.29962784;0.1976, 0.3006
-0.40257144, 0.39960608;-0.4004, 0.3996
-0.40934277, 0.4046397;-0.4073, 0.4045
0.4001471, 0.10093728;0.3996, 0.1004
0.20352533, -0.19821121;0.204, -0.1988
-0.2499797, 0.25009578;-0.2506, 0.2486
-0.100448705, -0.096791334;-0.1023, -0.098
-0.40095028, 0.19960934;-0.4014, 0.1981
-0.09862659, -0.0971628;-0.1007, -0.0988
-0.097255275, -0.100926146;-0.099, -0.1025
0.10275047, -0.2989342;0.1033, -0.2989
0.40157333, 0.09984913;0.4017, 0.0991
0.20239575, 0.29994404;0.2026, 0.3006
0.19809823, 0.30665648;0.1981, 0.3072
-0.30271488, -0.29762533;-0.3026, -0.2985
0.20187208, -0.20054242;0.2025, -0.2003
-0.0035590974, 0.0011092968;-0.0046, 0.0032
-0.40441638, 0.4020905;-0.4019, 0.4016
0.20359144, 0.30343825;0.2037, 0.3043
0.003998855, -0.0029961893;0.0029, -0.0011
0.20043896, -0.19731002;0.2014, -0.1981
-0.3968975, 0.39990592;-0.396, 0.3999
-0.24773008, 0.248141;-0.2491, 0.2468
0.3981991, 0.09520739;0.3982, 0.0946
0.1941567, -0.19878803;0.1957, -0.1995
-0.39590895, 0.19973992;-0.3967, 0.199
-0.25192624, 0.24187155;-0.2532, 0.24
0.2024912, -0.20008755;0.2029, -0.1999
0.40549096, 0.10194676;0.4053, 0.1013
0.40102592, 0.10287036;0.4007, 0.1028
0.20218746, -0.19915915;0.2028, -0.1995
0.104788765, -0.30409217;0.1058, -0.3048
0.2024843, 0.2999063;0.2027, 0.3005
-0.30798745, -0.2977517;-0.3083, -0.2985
-0.29756266, -0.30264315;-0.2967, -0.3027
-0.40436623, 0.407975;-0.4027, 0.4062
5.472387E-4, -0.0019748502;-5.0E-4, -4.0E-4
0.19461212, 0.30001983;0.1955, 0.301
0.19482039, -0.19982076;0.1963, -0.2006
-0.40277305, 0.40217462;-0.4006, 0.4017
-0.39886874, 0.40302512;-0.3976, 0.4023
0.0030554368, 0.0019082918;0.0021, 0.0043
-0.2530432, 0.25094208;-0.2536, 0.2492
-0.40074748, 0.19737202;-0.4013, 0.1958
-0.3974005, 0.40355536;-0.3966, 0.4023
0.099431075, -0.30674222;0.0999, -0.307
0.19866313, 0.30468932;0.1987, 0.3056
0.4014708, 0.10146387;0.4012, 0.1011
-0.3020168, -0.30208117;-0.302, -0.3023
0.3967712, 0.10169017;0.3963, 0.1015
-0.30184647, -0.29846054;-0.3015, -0.2993
-0.0015785077, 0.005295982;-0.0026, 0.0085
0.20333104, 0.30159163;0.2033, 0.3025
-0.29814458, -0.30004412;-0.2971, -0.3005
0.20462273, -0.2006078;0.2051, -0.2008
0.40630615, 0.10124382;0.4061, 0.1005
0.39390907, 0.10066238;0.3936, 0.1003
0.0061154463, 9.050249E-4;0.0052, 0.0028
-0.097585276, -0.09929142;-0.0995, -0.1007
0.40054044, 0.10069401;0.4002, 0.1001
-0.3011478, -0.29923555;-0.3007, -0.2999
-0.10194685, -0.09943331;-0.104, -0.1012
0.19537395, 0.30302814;0.1958, 0.3041
0.39638302, 0.10143768;0.3961, 0.1011
-0.39626774, 0.40773416;-0.3959, 0.4054
0.20110098, -0.1995799;0.2019, -0.1997
-0.004807038, 9.076831E-4;-0.0059, 0.0036
-0.10011081, -0.102351345;-0.1023, -0.1042
0.20615464, 0.30399415;0.2066, 0.305
0.19804466, -0.20421576;0.1982, -0.2045
-0.39937475, 0.39453456;-0.398, 0.3951
-0.39379525, 0.20431492;-0.3946, 0.2027
-0.3993709, 0.20331976;-0.4, 0.2022
0.09723841, -0.30091462;0.097, -0.301
-0.09545313, -0.09821147;-0.0976, -0.1
0.20289132, -0.19944638;0.2034, -0.1995
-0.39956927, 0.20024331;-0.4003, 0.1991
-0.39970052, 0.19822535;-0.4004, 0.1967
-0.39778933, 0.40367422;-0.3969, 0.4024
-0.40110907, 0.19856238;-0.4015, 0.1969
0.005460231, 0.0046352614;0.0046, 0.0072
0.20549674, 0.29909787;0.2055, 0.3002
-0.0989117, -0.10033875;-0.1009, -0.1017
0.10016649, -0.3001897;0.1004, -0.3001
-0.39630938, 0.19809522;-0.3974, 0.197
8.4563723E-4, -0.005931405;-1.0E-4, -0.0038
0.40509176, 0.105447434;0.4047, 0.1051
0.19717921, 0.29730356;0.1977, 0.2984
0.3991707, 0.0996915;0.3988, 0.099
-0.24785316, 0.254147;-0.2495, 0.2529
0.20383707, 0.29107502;0.2041, 0.2925
0.39621258, 0.103019364;0.3959, 0.1027
0.10017001, -0.29426596;0.1003, -0.2936
0.10519317, -0.3048752;0.1061, -0.3056
-0.40376642, 0.40097237;-0.4015, 0.4008
-0.097435065, -0.098963;-0.0994, -0.1005
0.19634704, -0.20697902;0.197, -0.207
-0.2917287, -0.3021303;-0.2918, -0.302
-0.24905042, 0.2477888;-0.2505, 0.2464
-0.09307536, -0.09748336;-0.0952, -0.099
-0.30110803, -0.30236676;-0.3008, -0.3025
4.5415654E-5, -7.13141E-4;-0.001, 0.0015
-0.10143853, -0.1006742;-0.1036, -0.1022
0.20212273, 0.30030894;0.2022, 0.3011
-0.25208008, 0.25239795;-0.2528, 0.2512
-0.0026859764, 3.6668582E-4;-0.0033, 0.0024
-0.4018518, 0.19918892;-0.4022, 0.1977
0.09849537, -0.2945463;0.0985, -0.2937
-0.0957614, -0.0987093;-0.0977, -0.1004
0.20203747, 0.29787162;0.2019, 0.299
-0.3985714, 0.19766237;-0.3995, 0.1961
4.6567863E-4, 0.007223964;-0.001, 0.0101
-0.39508143, 0.2020565;-0.3959, 0.2013
0.19976589, 0.30334774;0.1999, 0.3043
0.4009123, 0.093630835;0.401, 0.0927
-0.40032992, 0.40351394;-0.3991, 0.4024
0.2015812, 0.30094278;0.2016, 0.3019
-0.39824563, 0.20008564;-0.3992, 0.1988
0.20137846, 0.29847142;0.2012, 0.2994
-0.25042012, 0.24946216;-0.2512, 0.2478
-0.29431632, -0.29922014;-0.2939, -0.2999
0.3999556, 0.10489946;0.4001, 0.1048
-0.40482956, 0.19996715;-0.4051, 0.199
-0.30294073, -0.29734117;-0.3028, -0.2981
0.096921705, -0.30235413;0.0968, -0.302
0.10675224, -0.2996465;0.1078, -0.2994
-6.255725E-4, -0.0012689369;-0.0018, 5.0E-4
0.0022462301, -0.0035833349;0.001, -0.0018
-0.3035579, -0.30077153;-0.3039, -0.3017
-0.3988897, 0.400812;-0.3978, 0.4006
0.20462155, 0.2987253;0.2043, 0.2996
0.39647874, 0.0962671;0.3962, 0.0956
0.2058731, 0.30372214;0.2062, 0.3046
-0.2965928, -0.2931999;-0.2961, -0.2938
-0.24849778, 0.25130036;-0.25, 0.2495
9.338934E-4, 2.3458053E-4;-2.0E-4, 0.0023
-0.40104797, 0.40391228;-0.3995, 0.4026
0.09608258, -0.29995975;0.0959, -0.2999
-0.3979886, 0.20237371;-0.3986, 0.2014
0.2020276, -0.20244575;0.2024, -0.2021
-0.09874254, -0.09937561;-0.1006, -0.1007
-0.4060226, 0.39907676;-0.4035, 0.3996
0.1980071, -0.19799529;0.1997, -0.1987
-0.4002801, 0.19927397;-0.4009, 0.1979
0.4020516, 0.10599841;0.4019, 0.106
0.1032622, -0.30616227;0.104, -0.3064
-0.39993128, 0.2032447;-0.4003, 0.2022
-0.40528232, 0.1977272;-0.405, 0.1966
0.001449972, -0.0010079879;4.0E-4, 9.0E-4
0.19973518, 0.30201194;0.1997, 0.3028
-0.3962708, 0.2007407;-0.3973, 0.2
-0.10314538, -0.10013396;-0.1053, -0.1016
0.2030341, 0.3036323;0.2031, 0.3045
-0.4000227, 0.40311456;-0.3989, 0.4024
0.0014860174, -1.8972512E-4;4.0E-4, 0.0017
-0.10593961, -0.0972297;-0.1078, -0.0989
0.0016709893, 0.003552154;6.0E-4, 0.0057
0.19387993, 0.30108702;0.1945, 0.3025
-0.24673736, 0.24964918;-0.2485, 0.248
0.0021071425, 0.0013269702;0.0013, 0.0035
-0.39745915, 0.4038155;-0.3967, 0.4026
-9.08933E-4, -0.0039616465;-0.0019, -0.0017
0.20028062, 0.29941747;0.2001, 0.3001
-0.2502837, 0.24086604;-0.2512, 0.2389
-0.0022432022, -9.751055E-5;-0.0031, 0.002
-0.24866785, 0.247795;-0.2502, 0.2464
-0.30002567, -0.2980971;-0.2994, -0.299
-0.3970217, 0.20283014;-0.3978, 0.2019
-0.4012539, 0.19930665;-0.4017, 0.1979
-0.2923787, -0.30620494;-0.292, -0.3055
0.40318674, 0.10330555;0.4029, 0.103
-0.39624843, 0.40447116;-0.3955, 0.4032
-0.30314842, -0.30208236;-0.3033, -0.3027
0.003587766, 0.0017680223;0.0025, 0.0041
0.40806097, 0.097088315;0.4068, 0.0963
0.20458132, -0.19851762;0.2049, -0.1989
0.002503282, -0.001309566;0.0013, 6.0E-4
-0.24783082, 0.24427262;-0.249, 0.2426
-0.29961038, -0.301314;-0.2991, -0.3016
0.19500001, -0.20216423;0.1966, -0.203
-0.39100185, 0.3968234;-0.3899, 0.397
-0.2974798, -0.30148062;-0.2967, -0.3017
0.1964265, 0.3066717;0.1962, 0.3072
0.0016294066, 0.0010919634;7.0E-4, 0.003
-0.29873735, -0.30363852;-0.298, -0.3037
-0.1038477, -0.09879493;-0.1059, -0.1006
-0.30093318, -0.30344713;-0.3009, -0.3037
-0.3001659, -0.29962176;-0.2996, -0.3002
-0.3968546, 0.39769778;-0.396, 0.3982
-0.3982816, 0.2009249;-0.399, 0.1998
0.40255392, 0.101179026;0.4027, 0.1005
0.10527504, -0.29281834;0.1057, -0.2921
-0.09343642, -0.09291086;-0.0953, -0.0948
0.10084232, -0.3018394;0.1011, -0.3022
-0.29755104, -0.2989862;-0.2968, -0.2996
0.0044216774, 2.0495463E-4;0.0033, 0.0023
0.39673647, 0.1041508;0.3964, 0.1038
-3.5398183E-4, -3.075124E-4;-0.0014, 0.0019
0.20652537, 0.30606157;0.2075, 0.3072
-0.003480971, -0.0014738501;-0.0045, 4.0E-4
-0.24975318, 0.24454407;-0.2507, 0.2432
-0.30248535, -0.2980382;-0.3025, -0.2989
0.19718641, -0.19898395;0.1988, -0.1997
-0.24392712, 0.24431854;-0.2451, 0.2421
0.19335438, 0.2983866;0.1943, 0.2992
-0.4034045, 0.39909562;-0.401, 0.3993
-0.09652946, -0.10024569;-0.0984, -0.1018
-0.39681968, 0.39375395;-0.3959, 0.3941
0.0031561744, -0.0030046368;0.0016, -0.0012
-0.4010668, 0.207508;-0.4016, 0.206
0.40560973, 0.1003079;0.4054, 0.0997
-0.24742906, 0.25131893;-0.249, 0.2495
-0.24474548, 0.24482752;-0.2461, 0.2427
0.10033898, -0.29955631;0.1005, -0.2992
-0.39532834, 0.19219306;-0.3969, 0.1913
0.0038167783, -0.0022997253;0.0029, -7.0E-4
-0.39922798, 0.19377999;-0.4001, 0.1929
0.19929698, 0.29823673;0.1995, 0.2991
2.4220537E-4, -0.0035330802;-8.0E-4, -0.0015
0.09752528, -0.30285937;0.0973, -0.3023
0.2003168, 0.30437183;0.2004, 0.3051
-0.00787226, -0.0022182628;-0.0087, 0.0
0.1965292, 0.29609045;0.197, 0.2973
-0.2465511, 0.25395718;-0.2484, 0.2526
0.20061092, -0.20132726;0.2011, -0.2012
0.40632194, 0.10092184;0.4061, 0.1003
0.40124834, 0.099750526;0.4013, 0.099
0.4031573, 0.096231915;0.4029, 0.0953
0.20275497, -0.19897282;0.2034, -0.1992
0.0025478383, -4.952418E-4;0.0014, 0.0013
-0.251561, 0.2489294;-0.252, 0.2472
-0.40564576, 0.19888775;-0.4056, 0.1983
0.20215447, -0.19775885;0.2028, -0.1984
-0.0024828694, -0.0012592876;-0.0032, 7.0E-4
-0.0017456688, -0.004426998;-0.0026, -0.002
-0.10260094, -0.09886053;-0.1047, -0.1007
-0.24602696, 0.24760216;-0.2474, 0.2458
-0.3046175, -0.30518982;-0.3054, -0.3056
0.3975167, 0.10175408;0.3972, 0.1014
-0.10123997, -0.10436687;-0.1035, -0.1065
-0.2552371, 0.25680715;-0.2572, 0.2572
0.1975424, 0.29770562;0.1979, 0.2988
0.19928223, -0.19159229;0.2005, -0.192
4.1959347E-4, 0.0036066293;-0.001, 0.0061
0.19952458, 0.30110005;0.1995, 0.3018
0.39899275, 0.10013991;0.3986, 0.0995
-0.39324227, 0.40200454;-0.3927, 0.4012
-0.4034517, 0.39700964;-0.4008, 0.3973
-0.4004312, 0.19295266;-0.4008, 0.1924
0.40630752, 0.10063487;0.4059, 0.1
-0.39750734, 0.19943301;-0.3988, 0.1982
-0.10928427, -0.10147749;-0.1113, -0.1036
-0.09733892, -0.101303555;-0.0992, -0.1029
0.09854951, -0.29923007;0.0985, -0.299
-0.4052532, 0.3962767;-0.4025, 0.3965
0.20068449, -0.1917567;0.202, -0.1922
-0.40331757, 0.40028754;-0.4011, 0.4002
-0.29869393, -0.30321613;-0.2979, -0.3033
-0.2977411, -0.30228;-0.2967, -0.3024
-0.24700224, 0.24568217;-0.2485, 0.2438
0.193353, -0.19870324;0.1947, -0.1994
0.20163696, 0.2959868;0.2016, 0.2974
0.19969882, 0.30445796;0.1996, 0.3053
-0.40117732, 0.40243074;-0.3997, 0.4017
-0.102697656, -0.09398211;-0.1042, -0.0955
0.40080598, 0.093503356;0.4009, 0.0926
-1.0190309E-4, 0.002920529;-0.0012, 0.005
-0.09942226, -0.097175896;-0.1014, -0.0984
-0.30054432, -0.30087885;-0.3002, -0.3013
0.20200285, -0.19980435;0.2026, -0.2
-0.0011889007, -0.0020826848;-0.002, -5.0E-4
0.19928555, 0.30191094;0.1996, 0.3028
-0.40257916, 0.19757825;-0.4025, 0.1963
0.39842606, 0.10317524;0.3978, 0.1028
-0.3989092, 0.39971387;-0.3979, 0.3997
-0.3940008, 0.20044293;-0.3946, 0.1998
-0.0018431726, -0.0026920768;-0.0024, -8.0E-4
0.0014708448, 4.895357E-5;3.0E-4, 0.0021
-0.29614887, -0.30160725;-0.2954, -0.3017
-0.3961288, 0.40293658;-0.3955, 0.4021
-0.102860704, -0.104538806;-0.1046, -0.107
-0.40252978, 0.19809951;-0.4027, 0.1968
-0.2991302, -0.3002391;-0.2985, -0.3006
-0.25314453, 0.25123325;-0.2539, 0.2496
-0.10281038, -0.09986154;-0.1049, -0.1014
0.0031988719, 0.003481379;0.0023, 0.0055
0.09966865, -0.29647896;0.0997, -0.2958
0.39794272, 0.10102887;0.3979, 0.1004
0.20205992, 0.29782122;0.2019, 0.299
-0.10374897, -0.09783802;-0.1057, -0.0995
-0.29330534, -0.2978644;-0.2931, -0.2991
-0.3029214, -0.30240795;-0.3029, -0.3029
-0.09729912, -0.097446375;-0.099, -0.0992
-0.30245376, -0.30185196;-0.3022, -0.3024
-0.09593774, -0.09844781;-0.0977, -0.1002
-0.40158617, 0.40231684;-0.3998, 0.4016
0.1982979, -0.20627655;0.1988, -0.2062
-0.24228598, 0.2573737;-0.2436, 0.2561
0.098646365, -0.29654935;0.0988, -0.2958
0.40443704, 0.09734869;0.4043, 0.0967
-0.2517693, 0.24844387;-0.2522, 0.2467
-0.39861134, 0.19341283;-0.4, 0.1926
-0.4035702, 0.19691883;-0.4033, 0.1958
0.39910725, 0.102755696;0.3988, 0.1023
-0.40084353, 0.39974308;-0.3994, 0.3997
-0.403363, 0.39841038;-0.4011, 0.3989
0.19928138, 0.29813415;0.1995, 0.2989
-0.30575418, -0.30196413;-0.3063, -0.303
0.19645084, 0.301127;0.1967, 0.3019
0.39847362, 0.098048784;0.3985, 0.0975
0.1964533, -0.19795395;0.1982, -0.1984
0.10140335, -0.29952514;0.1018, -0.2995
0.19947834, 0.29897195;0.1997, 0.3
0.2067889, 0.29933047;0.2072, 0.3006
-0.2544797, 0.24442378;-0.2551, 0.2423
0.101014644, -0.29716954;0.1012, -0.2966
0.10315691, -0.29989007;0.1034, -0.2997
-0.09696783, -0.096155345;-0.099, -0.0978
0.40258214, 0.10567751;0.4021, 0.1058
0.10169896, -0.3018562;0.1019, -0.3022
-0.4025136, 0.40007946;-0.4003, 0.3999
0.196622, -0.20194991;0.1975, -0.2027
0.3935579, 0.103368916;0.3936, 0.1031
0.19649084, 0.29525673;0.197, 0.2964
-0.29752743, -0.30289486;-0.2966, -0.3028
0.19684625, 0.29508814;0.1972, 0.2964
-0.30196747, -0.29888874;-0.3015, -0.2997
-0.2449952, 0.2473339;-0.2465, 0.2454
0.40444386, 0.09881739;0.4046, 0.0982
-0.40294185, 0.40637702;-0.4013, 0.4049
0.09613898, -0.2980425;0.096, -0.2975
0.4007246, 0.1039789;0.4006, 0.1037
0.1954014, 0.30331242;0.1959, 0.3043
-0.39947844, 0.39799628;-0.3985, 0.3981
-0.25157985, 0.24655986;-0.2521, 0.2452
0.19685712, -0.19793484;0.1985, -0.1986
0.094412185, -0.29822454;0.0941, -0.2981
0.40212467, 0.09843175;0.4021, 0.0974
0.19816105, -0.19734102;0.1997, -0.1982
-0.39956084, 0.20564413;-0.3997, 0.204
-0.0021276195, 6.8482646E-4;-0.0028, 0.0027
-0.0026001758, 0.0063055833;-0.0036, 0.0093
-0.006316766, -0.0035021012;-0.0074, -0.0016
0.40186787, 0.10377205;0.4018, 0.1036
-0.39376774, 0.19069082;-0.3951, 0.1903
0.10099985, -0.2943422;0.1015, -0.2936
0.20314898, 0.29804337;0.2032, 0.2991
0.10771651, -0.30309567;0.1085, -0.3035
-0.39782357, 0.39363152;-0.3969, 0.3938
0.20712459, 0.29832637;0.2074, 0.2999
0.19346786, -0.20170638;0.1953, -0.2026
0.40395722, 0.09978579;0.4043, 0.0991
-0.2504058, 0.24868785;-0.2511, 0.2469
-0.2493645, 0.24982259;-0.2504, 0.2484
-0.3949766, 0.40447;-0.3949, 0.4032
-0.40118915, 0.20472841;-0.4015, 0.2034
0.10151661, -0.2968845;0.1019, -0.2961
0.19435741, 0.2992044;0.1952, 0.3001
-0.0026664138, 4.6105392E-4;-0.0034, 0.0026
-0.2513328, 0.25269812;-0.2519, 0.2513
-7.2779803E-4, 8.5103454E-4;-0.0018, 0.0031
0.40181476, 0.10249132;0.4015, 0.1024
-0.2996473, -0.3013278;-0.2993, -0.3017
-0.24980874, 0.25394842;-0.251, 0.2529
-0.3979193, 0.39615574;-0.3969, 0.3965
-0.29852286, -0.30213544;-0.2976, -0.3022
-0.0033522304, -0.00636462;-0.0045, -0.0042
-0.24717705, 0.25254053;-0.249, 0.2511
0.00151159, -0.0018098636;4.0E-4, -1.0E-4
0.20127663, -0.20261623;0.2018, -0.2023
-0.2970648, -0.29598632;-0.2964, -0.2971
-0.3006929, -0.30340868;-0.3005, -0.3035
-0.30227885, -0.29650933;-0.3023, -0.2972
-0.25271884, 0.24733776;-0.2532, 0.2457
-0.10048804, -0.09381632;-0.1026, -0.0957
0.1988202, -0.20050783;0.1997, -0.2009
0.10223518, -0.30494758;0.1027, -0.3054
0.19925797, -0.19744404;0.2001, -0.1981
-0.2998101, -0.30072594;-0.2997, -0.3011
0.39593226, 0.10303419;0.3955, 0.1026
0.1981703, -0.20167544;0.1989, -0.2018
-0.24851096, 0.25154126;-0.2499, 0.2501
-0.2989352, -0.29871893;-0.2984, -0.2997
-0.25240496, 0.25459746;-0.2535, 0.254
-0.302972, -0.302287;-0.3029, -0.3027
-0.10364912, -0.10555234;-0.1056, -0.1077
2.9548863E-4, 0.0054477258;-0.001, 0.0086
0.39668524, 0.094591886;0.396, 0.0938
0.19878757, -0.19925176;0.1999, -0.1997
-0.24523981, 0.2465319;-0.2466, 0.2449
-0.2515437, 0.2492561;-0.2521, 0.2476
0.19807018, 0.30015892;0.1984, 0.3009
0.10253764, -0.29839176;0.1031, -0.2979
0.0028391336, 0.003306007;0.0021, 0.0053
-0.40149024, 0.39796582;-0.3996, 0.3982
0.104275584, -0.30016828;0.1047, -0.3001
-0.0012547503, -1.4264832E-4;-0.0024, 0.0018
-0.39956096, 0.19449185;-0.4004, 0.1934
0.20296755, 0.30278692;0.2029, 0.3033
0.40413883, 0.102609605;0.4043, 0.102
0.001378133, -0.0038553877;5.0E-4, -0.0019
0.10243279, -0.30029792;0.1027, -0.3002
0.20304823, 0.3000864;0.2032, 0.3008
-0.0035437585, -0.0013578837;-0.0046, 5.0E-4
0.40174296, 0.10205561;0.4015, 0.1018
-0.4023917, 0.19752066;-0.4023, 0.1962
0.10107292, -0.2956022;0.1012, -0.2947
-0.2979691, -0.29815426;-0.2971, -0.2991
-0.09551219, -0.09827068;-0.0977, -0.1002
0.19462167, 0.29922634;0.1957, 0.3002
0.19964075, 0.30200243;0.1997, 0.3028
0.005496943, 0.003112513;0.0045, 0.0055
-0.10407449, -0.10004022;-0.1059, -0.1017
0.40149486, 0.10618062;0.4014, 0.106
-0.40084162, 0.19865115;-0.4014, 0.1971
0.2064019, -0.20167366;0.2064, -0.2015
0.203305, -0.19859625;0.2039, -0.1989
-0.40631068, 0.40446857;-0.4039, 0.404
-0.40008673, 0.19825497;-0.4006, 0.1966
-0.098234884, -0.09610202;-0.1004, -0.0977
-0.102504544, -0.10455372;-0.1043, -0.1069
-0.30045754, -0.30226257;-0.3002, -0.3025
-0.29788604, -0.3000634;-0.2969, -0.3005
-0.30521664, -0.29705673;-0.3056, -0.2979
-0.3994697, 0.20248973;-0.3999, 0.2015
0.19580589, 0.29951832;0.1965, 0.3003
